時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:17.0,0.282689244,0.15259932,0.272577196,0.15361622,2.864608765,2.698577881,TRUE,TRUE
42:17.0,0.282689244,0.15259932,0.272577196,0.15361622,2.864608765,2.698577881,TRUE,TRUE
42:17.1,0.283031046,0.155788168,0.271643639,0.155411333,2.875778198,2.723648071,TRUE,TRUE
42:17.1,0.283031046,0.155788168,0.271643639,0.155411333,2.875778198,2.723648071,TRUE,TRUE
42:17.1,0.283031046,0.155788168,0.271643639,0.155411333,2.875778198,2.723648071,TRUE,TRUE
42:17.1,0.282414228,0.153798044,0.270287424,0.159626931,2.877456665,2.731262207,TRUE,TRUE
42:17.1,0.282414228,0.153798044,0.270287424,0.159626931,2.877456665,2.731262207,TRUE,TRUE
42:17.1,0.282414228,0.153798044,0.270287424,0.159626931,2.877456665,2.731262207,TRUE,TRUE
42:17.1,0.283534497,0.152199745,0.271922737,0.158667102,2.899215698,2.74609375,TRUE,TRUE
42:17.1,0.283534497,0.152199745,0.271922737,0.158667102,2.899215698,2.74609375,TRUE,TRUE
42:17.1,0.283534497,0.152199745,0.271922737,0.158667102,2.899215698,2.74609375,TRUE,TRUE
42:17.1,0.283383787,0.15212895,0.270600498,0.15741168,2.907058716,2.748596191,TRUE,TRUE
42:17.1,0.283383787,0.15212895,0.270600498,0.15741168,2.907058716,2.748596191,TRUE,TRUE
42:17.1,0.283383787,0.15212895,0.270600498,0.15741168,2.907058716,2.748596191,TRUE,TRUE
42:17.1,0.269367099,0.161440521,0.258596092,0.16148448,2.933731079,2.764282227,TRUE,TRUE
42:17.1,0.269367099,0.161440521,0.258596092,0.16148448,2.933731079,2.764282227,TRUE,TRUE
42:17.1,0.269367099,0.161440521,0.258596092,0.16148448,2.933731079,2.764282227,TRUE,TRUE
42:17.1,0.262040257,0.162150338,0.246583208,0.159768745,2.915237427,2.729171753,TRUE,TRUE
42:17.1,0.262040257,0.162150338,0.246583208,0.159768745,2.915237427,2.729171753,TRUE,TRUE
42:17.1,0.262040257,0.162150338,0.246583208,0.159768745,2.915237427,2.729171753,TRUE,TRUE
42:17.2,0.107918523,0.237463355,0.086102694,0.212764308,2.896499634,2.746185303,TRUE,TRUE
42:17.2,0.107918523,0.237463355,0.086102694,0.212764308,2.896499634,2.746185303,TRUE,TRUE
42:17.2,0.107918523,0.237463355,0.086102694,0.212764308,2.896499634,2.746185303,TRUE,TRUE
42:17.2,0.10077884,0.236595914,0.077599771,0.213166371,2.935272217,2.807998657,TRUE,TRUE
42:17.2,0.10077884,0.236595914,0.077599771,0.213166371,2.935272217,2.807998657,TRUE,TRUE
42:17.2,0.10077884,0.236595914,0.077599771,0.213166371,2.935272217,2.807998657,TRUE,TRUE
42:17.2,0.096650198,0.241523355,0.071412124,0.215334356,2.941604614,2.812103271,TRUE,TRUE
42:17.2,0.096650198,0.241523355,0.071412124,0.215334356,2.941604614,2.812103271,TRUE,TRUE
42:17.2,0.096650198,0.241523355,0.071412124,0.215334356,2.941604614,2.812103271,TRUE,TRUE
42:17.2,0.098446682,0.243670404,0.073848382,0.217815146,2.938079834,2.796920776,TRUE,TRUE
42:17.2,0.098446682,0.243670404,0.073848382,0.217815146,2.938079834,2.796920776,TRUE,TRUE
42:17.2,0.098446682,0.243670404,0.073848382,0.217815146,2.938079834,2.796920776,TRUE,TRUE
42:17.2,0.099300489,0.244751796,0.075809337,0.219888493,2.937423706,2.789764404,TRUE,TRUE
42:17.2,0.099300489,0.244751796,0.075809337,0.219888493,2.937423706,2.789764404,TRUE,TRUE
